id,name,gender,age,email,phone,address,balance,last_withdraw_date,last_withdraw_amount,last_deposit_date,last_deposit_amount,last_complaint_date,last_complaint_time,last_complaint_type,last_complaint_employee,last_complaint_satis
87,safyAyman,Female,30,safyAyman@gmail.com,01068235690,Qena-Qism Qena,7557,24/6/2019,2759,1/2/2018,3687,13/10/2018,1:11,credit card not working,Ahmed Hesham,98%
82,obama,Female,58,obama@gmail.com,01068235690,Giza-Qism Giza,65399,17/4/2018,4044,21/5/2020,8425,1/1/2020,3:31,problem with deposit,Ahmed Hesham,71%
43,Menna,Male,53,Menna@gmail.com,01068235690,Qena-Qism Qena,57831,7/9/2020,6407,28/8/2019,4040,28/8/2018,11:13,problem with deposit,Ahmed Hesham,44%
61,biden,Female,61,biden@gmail.com,01068235690,Cairo-Qism Cairo,99994,5/7/2020,5220,17/4/2018,7144,27/5/2017,4:47,credit card not working,Ahmed Hesham,77%
62,FatmaW,Female,86,FatmaW@gmail.com,01068235690,Qena-Qism Qena,21562,13/7/2017,510,21/4/2019,9773,12/10/2018,9:49,problem with withdraw,Ahmed Hesham,55%
9,MohammadRmadan,Female,79,MohammadRmadan@gmail.com,01068235690,Aswan-Qism Aswan,63387,27/6/2017,8256,24/12/2017,2245,10/11/2017,8:49,problem with deposit,Ahmed Hesham,14%
78,AmmarYasser,Female,23,AmmarYasser@gmail.com,01068235690,Aswan-Qism Aswan,15383,28/3/2019,6893,23/7/2017,9098,17/8/2020,9:48,credit card not working,Ahmed Hesham,20%
36,EsraaG,Male,85,EsraaG@gmail.com,01068235690,Giza-Qism Giza,99583,9/5/2018,374,6/6/2020,8363,25/2/2020,11:19,problem with withdraw,Ahmed Hesham,12%
70,Amal,Female,74,Amal@gmail.com,01068235690,Aswan-Qism Aswan,81590,19/5/2018,6238,22/12/2019,2860,20/10/2019,3:37,problem with withdraw,Ahmed Hesham,45%
67,Reem,Female,28,Reem@gmail.com,01068235690,Aswan-Qism Aswan,58389,26/1/2020,2959,6/4/2018,7462,15/2/2020,10:23,problem with deposit,Ahmed Hesham,74%
74,Bako,Female,52,Bako@gmail.com,01068235690,Aswan-Qism Aswan,92383,22/6/2018,9500,1/11/2019,4936,20/11/2017,6:43,problem with withdraw,Ahmed Hesham,27%
73,Beso,Male,51,Beso@gmail.com,01068235690,Giza-Qism Giza,44381,5/6/2017,4278,28/12/2019,2801,25/1/2018,2:30,credit card not working,Ahmed Hesham,20%
76,SaraKhaled,Male,55,SaraKhaled@gmail.com,01068235690,Qena-Qism Qena,66733,21/6/2020,1977,23/9/2019,7865,4/6/2018,1:13,problem with deposit,Ahmed Hesham,28%
91,Esraa,Male,37,Esraa@gmail.com,01068235690,Aswan-Qism Aswan,89885,20/12/2017,8228,17/8/2019,3430,13/1/2017,3:31,problem with withdraw,Ahmed Hesham,94%
90,hosnymubark,Female,58,hosnymubark@gmail.com,01068235690,Qena-Qism Qena,80610,16/7/2020,8784,2/2/2019,1109,24/7/2017,1:59,credit card not working,Ahmed Hesham,31%
37,SondosA,Male,50,SondosA@gmail.com,01068235690,Aswan-Qism Aswan,51155,1/7/2018,2373,1/2/2019,2821,9/2/2017,11:55,problem with deposit,Ahmed Hesham,35%
41,naifHemdan,Female,44,naifHemdan@gmail.com,01068235690,Qena-Qism Qena,90975,26/8/2018,3968,3/7/2017,5153,13/5/2017,1:29,problem with withdraw,Ahmed Hesham,25%
12,AhmedIbrahem,Male,54,AhmedIbrahem@gmail.com,01068235690,Qena-Qism Qena,8766,4/12/2017,4964,18/3/2020,8140,5/2/2018,7:11,problem with deposit,Ahmed Hesham,91%
44,logy,Female,74,logy@gmail.com,01068235690,Qena-Qism Qena,10754,25/6/2020,7406,10/7/2018,3550,2/7/2018,10:58,problem with withdraw,Ahmed Hesham,95%
54,Maha,Male,65,Maha@gmail.com,01068235690,Qena-Qism Qena,34225,14/3/2017,2099,12/6/2019,2194,5/3/2017,4:28,problem with deposit,Ahmed Hesham,14%
42,GeorgeHeshmat,Female,31,GeorgeHeshmat@gmail.com,01068235690,Aswan-Qism Aswan,10722,1/7/2020,4669,6/3/2019,6723,4/5/2018,3:27,problem with withdraw,Ahmed Hesham,25%
32,Bahaa,Male,50,Bahaa@gmail.com,01068235690,Giza-Qism Giza,63258,22/3/2020,3191,6/11/2017,2824,25/10/2020,2:38,problem with deposit,Ahmed Hesham,44%
98,Rawan,Female,72,Rawan@gmail.com,01068235690,Giza-Qism Giza,92764,20/11/2019,8728,12/4/2018,1148,9/3/2017,6:59,credit card not working,Ahmed Hesham,57%
111,SafyAbdelkarem,Female,35,SafyAbdelkarem@gmail.com,01068235690,Qena-Qism Qena,76927,7/3/2020,3623,11/8/2017,4526,5/12/2020,3:57,credit card not working,Ahmed Hesham,69%
46,Zad,Female,53,Zad@gmail.com,01068235690,Qena-Qism Qena,86913,23/4/2019,3957,27/10/2019,9756,17/5/2017,12:59,problem with deposit,Ahmed Hesham,56%
114,Shorouk,Male,20,Shorouk@gmail.com,01068235690,Cairo-Qism Cairo,77147,24/6/2017,7112,24/5/2017,2143,26/8/2020,3:15,credit card not working,Ahmed Hesham,90%
6,Rokaia,Female,36,Rokaia@gmail.com,01068235690,Qena-Qism Qena,54400,16/4/2020,3675,15/6/2019,4958,13/4/2017,2:11,credit card not working,Ahmed Hesham,91%
72,EsamGhnaem,Female,82,EsamGhnaem@gmail.com,01068235690,Cairo-Qism Cairo,93875,27/12/2020,4730,27/2/2017,4288,12/3/2020,12:48,problem with withdraw,Ahmed Hesham,11%
105,AhmedSukar,Male,26,AhmedSukar@gmail.com,01068235690,Giza-Qism Giza,23390,17/8/2019,8564,8/9/2017,6436,28/11/2019,2:36,credit card not working,Ahmed Hesham,25%
77,AymanNassar,Male,30,AymanNassar@gmail.com,01068235690,Giza-Qism Giza,23656,3/6/2019,1204,11/12/2018,3670,2/11/2018,2:14,problem with withdraw,Ahmed Hesham,95%
26,gharabwy,Female,38,gharabwy@gmail.com,01068235690,Giza-Qism Giza,8550,19/11/2019,6584,2/8/2020,2924,22/11/2019,4:37,problem with deposit,Ahmed Hesham,10%
106,Fatma,Male,56,Fatma@gmail.com,01068235690,Cairo-Qism Cairo,68565,2/3/2019,8756,1/9/2017,6339,8/8/2018,12:57,credit card not working,Ahmed Hesham,60%
83,Heba,Female,52,Heba@gmail.com,01068235690,Qena-Qism Qena,89438,11/3/2018,8284,12/4/2019,8436,28/8/2020,6:38,problem with withdraw,Ahmed Hesham,38%
79,GamalAbdelnaser,Male,32,GamalAbdelnaser@gmail.com,01068235690,Aswan-Qism Aswan,61068,10/5/2017,927,16/5/2019,156,14/12/2017,1:57,problem with withdraw,Ahmed Hesham,34%
15,AhmedShabed,Male,43,AhmedShabed@gmail.com,01068235690,Cairo-Qism Cairo,76160,9/9/2020,7254,13/7/2017,4411,19/8/2020,1:42,credit card not working,Ahmed Hesham,54%
14,FahmyAnter,Male,40,FahmyAnter@gmail.com,01068235690,Aswan-Qism Aswan,10540,24/9/2019,7640,11/6/2017,6326,17/7/2020,6:54,credit card not working,Ahmed Hesham,14%
115,AliMaher,Male,73,AliMaher@gmail.com,01068235690,Cairo-Qism Cairo,99009,8/11/2017,2893,6/3/2018,632,14/5/2020,5:59,problem with withdraw,Ahmed Hesham,42%
104,AboAbed,Male,76,AboAbed@gmail.com,01068235690,Aswan-Qism Aswan,46381,27/9/2020,8748,21/5/2020,2156,1/4/2019,2:16,credit card not working,Ahmed Hesham,91%
81,salehOpilz,Male,87,salehOpilz@gmail.com,01068235690,Giza-Qism Giza,1629,10/12/2018,8162,18/1/2020,8384,24/4/2020,12:57,problem with withdraw,Ahmed Hesham,58%
2,Marwa,Male,82,Marwa@gmail.com,01068235690,Cairo-Qism Cairo,46032,20/10/2019,1938,15/9/2018,3891,12/12/2019,5:28,problem with withdraw,Ahmed Hesham,70%
21,Mohammad,Male,30,Mohammad@gmail.com,01068235690,Giza-Qism Giza,90765,8/11/2018,6639,10/2/2017,7506,2/3/2017,5:14,problem with withdraw,Ahmed Hesham,15%
109,erdogan,Female,35,erdogan@gmail.com,01068235690,Aswan-Qism Aswan,76706,3/5/2019,2130,23/4/2020,2470,10/2/2020,1:29,problem with deposit,Ahmed Hesham,89%
50,Toka,Male,58,Toka@gmail.com,01068235690,Qena-Qism Qena,41389,24/9/2017,6768,18/10/2018,6460,1/12/2017,4:18,problem with deposit,Ahmed Hesham,95%
100,AbdoDahy,Male,22,AbdoDahy@gmail.com,01068235690,Giza-Qism Giza,10811,3/4/2020,2827,9/12/2020,7517,16/11/2020,2:44,problem with withdraw,Ahmed Hesham,53%
18,Hanaa,Female,48,Hanaa@gmail.com,01068235690,Cairo-Qism Cairo,69110,27/6/2017,5093,15/3/2020,2253,20/9/2020,12:49,problem with deposit,Ahmed Hesham,30%
57,SasaAhmed,Female,61,SasaAhmed@gmail.com,01068235690,Giza-Qism Giza,28999,9/10/2020,1460,22/3/2020,2125,24/8/2020,1:15,credit card not working,Ahmed Hesham,71%
16,Sara,Male,60,Sara@gmail.com,01068235690,Qena-Qism Qena,95045,16/11/2019,9893,9/4/2017,3299,7/8/2020,9:24,credit card not working,Ahmed Hesham,38%
112,AboOmar,Female,25,AboOmar@gmail.com,01068235690,Cairo-Qism Cairo,56383,16/2/2019,8173,1/6/2019,633,14/4/2019,9:34,problem with withdraw,Ahmed Hesham,77%
1,Elnwawy,Male,85,Elnwawy@gmail.com,01068235690,Giza-Qism Giza,8304,21/1/2020,7381,10/12/2019,6375,20/5/2017,4:40,problem with withdraw,Ahmed Hesham,81%
86,MohamedTarek,Male,57,MohamedTarek@gmail.com,01068235690,Aswan-Qism Aswan,88250,6/11/2018,8862,21/4/2019,1624,19/4/2020,5:51,problem with deposit,Ahmed Hesham,32%
65,Sondos,Male,26,Sondos@gmail.com,01068235690,Cairo-Qism Cairo,13377,25/11/2018,5953,9/11/2017,3624,28/8/2019,4:15,credit card not working,Ahmed Hesham,65%
34,NadaM,Female,65,NadaM@gmail.com,01068235690,Giza-Qism Giza,51941,13/3/2018,2758,16/12/2017,3566,24/1/2020,7:47,problem with deposit,Ahmed Hesham,53%
108,MohamedAbdelgalel,Male,23,MohamedAbdelgalel@gmail.com,01068235690,Giza-Qism Giza,87310,24/6/2020,7923,3/2/2018,6476,20/10/2019,5:30,credit card not working,Ahmed Hesham,57%
71,Amira,Male,34,Amira@gmail.com,01068235690,Qena-Qism Qena,15530,27/6/2017,6867,21/7/2017,9189,18/12/2017,6:22,problem with deposit,Ahmed Hesham,89%
117,AhmedKhashab,Male,25,AhmedKhashab@gmail.com,01068235690,Qena-Qism Qena,20058,27/1/2019,9139,2/6/2020,6005,6/5/2017,3:30,problem with withdraw,Ahmed Hesham,79%
52,RamyGomaa,Female,38,RamyGomaa@gmail.com,01068235690,Qena-Qism Qena,30424,1/3/2019,6870,16/5/2018,9085,8/3/2017,11:48,credit card not working,Ahmed Hesham,32%
55,Bebo,Female,47,Bebo@gmail.com,01068235690,Aswan-Qism Aswan,99500,12/12/2018,6089,10/8/2019,3799,2/12/2020,5:12,problem with withdraw,Ahmed Hesham,75%
17,Zahraa,Male,64,Zahraa@gmail.com,01068235690,Aswan-Qism Aswan,73357,1/10/2020,9971,26/5/2019,2903,10/5/2019,7:12,problem with deposit,Ahmed Hesham,73%
29,MohammadNady,Male,18,MohammadNady@gmail.com,01068235690,Aswan-Qism Aswan,28742,17/4/2019,3311,12/7/2019,3975,6/6/2019,2:25,problem with deposit,Ahmed Hesham,13%
39,Hamza,Male,58,Hamza@gmail.com,01068235690,Qena-Qism Qena,13408,1/4/2019,5754,25/12/2018,3929,2/2/2020,2:49,credit card not working,Ahmed Hesham,82%
4,AbdoSadek,Male,54,AbdoSadek@gmail.com,01068235690,Qena-Qism Qena,40985,3/6/2020,8013,27/2/2018,7570,18/6/2018,2:55,problem with withdraw,Ahmed Hesham,54%
102,Rawda,Male,72,Rawda@gmail.com,01068235690,Cairo-Qism Cairo,99405,21/9/2019,5593,8/6/2017,4590,25/11/2018,12:46,problem with deposit,Ahmed Hesham,39%
84,Ahmed,Male,82,Ahmed@gmail.com,01068235690,Qena-Qism Qena,78583,1/7/2017,2542,9/1/2018,9787,8/1/2019,8:11,problem with withdraw,Ahmed Hesham,54%
49,MahmoudOsama,Male,43,MahmoudOsama@gmail.com,01068235690,Cairo-Qism Cairo,83611,3/8/2020,1228,17/12/2020,7217,28/3/2018,11:25,problem with withdraw,Ahmed Hesham,85%
85,AhmedFakhory,Male,27,AhmedFakhory@gmail.com,01068235690,Qena-Qism Qena,97659,18/12/2018,677,19/10/2020,9480,14/9/2020,3:46,problem with withdraw,Ahmed Hesham,73%
31,ghada,Female,35,ghada@gmail.com,01068235690,Aswan-Qism Aswan,70368,17/9/2018,4901,21/5/2019,5668,20/7/2017,2:30,credit card not working,Ahmed Hesham,18%
5,AbdoOmran,Male,67,AbdoOmran@gmail.com,01068235690,Aswan-Qism Aswan,70004,14/11/2019,2641,1/5/2018,2488,27/12/2020,7:26,problem with withdraw,Ahmed Hesham,82%
13,MariamAbdo,Female,83,MariamAbdo@gmail.com,01068235690,Cairo-Qism Cairo,25450,27/6/2018,3110,22/12/2018,5361,13/6/2018,9:20,credit card not working,Ahmed Hesham,30%
75,HagarHassan,Female,77,HagarHassan@gmail.com,01068235690,Aswan-Qism Aswan,55642,26/1/2017,5468,16/7/2019,533,15/4/2017,12:52,problem with deposit,Ahmed Hesham,83%
66,Mazen,Male,90,Mazen@gmail.com,01068235690,Giza-Qism Giza,50560,2/9/2017,4590,7/10/2017,7406,8/7/2017,2:50,credit card not working,Ahmed Hesham,19%
7,OmarDizar,Male,89,OmarDizar@gmail.com,01068235690,Aswan-Qism Aswan,22469,11/7/2020,9257,10/6/2020,7384,12/12/2020,1:47,problem with deposit,Ahmed Hesham,62%
23,NadaSeif,Male,39,NadaSeif@gmail.com,01068235690,Cairo-Qism Cairo,99438,6/1/2019,3220,26/5/2017,3811,18/5/2017,11:47,credit card not working,Ahmed Hesham,99%
35,sadat,Male,22,sadat@gmail.com,01068235690,Cairo-Qism Cairo,79715,28/8/2020,442,7/6/2018,8999,15/7/2017,12:12,problem with withdraw,Ahmed Hesham,14%
99,AhmedSebea,Female,68,AhmedSebea@gmail.com,01068235690,Qena-Qism Qena,62887,13/2/2017,4544,18/9/2017,8293,11/11/2020,11:21,credit card not working,Ahmed Hesham,74%
101,gefara,Male,54,gefara@gmail.com,01068235690,Giza-Qism Giza,21535,24/3/2017,1214,24/2/2017,7957,28/6/2017,11:35,problem with deposit,Ahmed Hesham,40%
28,Macron,Male,74,Macron@gmail.com,01068235690,Giza-Qism Giza,11865,6/3/2020,7795,28/11/2018,7173,6/11/2018,8:25,problem with deposit,Ahmed Hesham,23%
