id,name,gender,age,email,phone,address,balance,last_withdraw_date,last_withdraw_amount,last_deposit_date,last_deposit_amount,last_complaint_date,last_complaint_time,last_complaint_type,last_complaint_employee,last_complaint_satis
0,MustafaMadboly,Male,25,MustafaMadboly@gmail.com,1068235690,Cairo-Qism Cairo,85025,18/3/2018,9531,2/12/2018,9193,20/5/2020,10:27,credit card not working,Ahmed Hesham,34%
1,AhmedMousa,Male,33,AhmedMousa@gmail.com,1068235690,Aswan-Qism Aswan,82719,15/5/2020,4500,1/6/2019,1335,6/4/2018,11:10,credit card not working,Ahmed Hesham,67%
2,Erdogan,Male,24,Erdogan@gmail.com,1068235690,Qena-Qism Qena,21643,6/4/2017,4177,8/7/2019,9261,25/8/2019,7:50,credit card not working,Ahmed Hesham,61%
3,Macron,Male,35,Macron@gmail.com,1068235690,Cairo-Qism Cairo,9782,1/4/2018,9801,6/3/2018,9169,14/6/2017,2:17,credit card not working,Ahmed Hesham,88%
4,MustafaBakry,Male,67,MustafaBakry@gmail.com,1068235690,Aswan-Qism Aswan,9511,21/9/2020,9211,10/10/2017,5296,3/10/2019,2:59,credit card not working,Ahmed Hesham,54%
5,ElSisi,Male,78,ElSisi@gmail.com,1068235690,Cairo-Qism Cairo,61282,8/3/2018,5400,8/1/2018,4919,12/9/2020,8:49,credit card not working,Ahmed Hesham,20%
6,Yosra,Female,66,Yosra@gmail.com,1068235690,Giza-Qism Giza,86991,2/11/2017,9772,10/6/2020,3681,24/8/2020,9:34,problem with deposit,Ahmed Hesham,100%
7,MohamedYasser,Male,36,MohamedYasser@gmail.com,1068235690,Cairo-Qism Cairo,85776,19/4/2018,4669,20/3/2017,5424,23/6/2018,3:19,credit card not working,Ahmed Hesham,37%
8,NashatEldehe,Male,34,NashatEldehe@gmail.com,1068235690,Qena-Qism Qena,38526,17/12/2019,750,1/2/2019,4832,21/2/2018,6:40,credit card not working,Ahmed Hesham,82%
9,BorisJohnson,Male,72,BorisJohnson@gmail.com,1068235690,Giza-Qism Giza,81050,22/11/2018,2724,16/4/2017,5494,3/4/2018,4:12,credit card not working,Ahmed Hesham,20%
10,Abotreka,Male,33,Abotreka@gmail.com,1068235690,Cairo-Qism Cairo,26299,28/7/2019,9538,22/7/2017,3157,17/5/2019,2:10,credit card not working,Ahmed Hesham,35%
11,AmrAdeeb,Male,38,AmrAdeeb@gmail.com,1068235690,Qena-Qism Qena,71759,2/10/2017,1217,5/8/2019,5462,14/8/2020,1:28,problem with withdraw,Ahmed Hesham,12%
12,Tamem,Male,66,Tamem@gmail.com,1068235690,Cairo-Qism Cairo,95596,11/1/2019,8246,12/1/2020,7667,15/12/2018,6:56,problem with deposit,Ahmed Hesham,33%
13,Bebo,Male,82,Bebo@gmail.com,1068235690,Giza-Qism Giza,76707,26/1/2018,6600,23/3/2019,2968,24/1/2018,10:56,problem with withdraw,Ahmed Hesham,13%
14,Salman,Male,26,Salman@gmail.com,1068235690,Aswan-Qism Aswan,55548,2/3/2020,6567,23/9/2019,1838,11/5/2020,10:48,problem with withdraw,Ahmed Hesham,83%
15,MohamedRamadan,Male,76,MohamedRamadan@gmail.com,1068235690,Qena-Qism Qena,54967,15/11/2020,8841,17/11/2020,7566,12/6/2018,10:45,problem with deposit,Ahmed Hesham,51%
16,AhmedBehiery,Male,64,AhmedBehiery@gmail.com,1068235690,Aswan-Qism Aswan,47032,25/4/2017,9194,20/1/2018,6416,6/10/2020,11:30,credit card not working,Ahmed Hesham,14%
17,AboOmar,Male,51,AboOmar@gmail.com,1068235690,Qena-Qism Qena,83058,14/8/2018,8277,6/5/2017,4380,8/2/2020,11:26,problem with withdraw,Ahmed Hesham,39%
18,Biden,Male,65,Biden@gmail.com,1068235690,Cairo-Qism Cairo,20061,15/10/2018,272,9/11/2020,351,22/3/2019,7:21,problem with withdraw,Ahmed Hesham,27%
19,AdelEmam,Male,35,AdelEmam@gmail.com,1068235690,Qena-Qism Qena,48475,22/8/2019,741,27/11/2018,6389,15/9/2020,2:32,problem with deposit,Ahmed Hesham,76%
20,Mubarak,Male,66,Mubarak@gmail.com,1068235690,Qena-Qism Qena,60498,24/5/2020,3550,2/4/2020,4250,9/11/2017,10:29,problem with deposit,Ahmed Hesham,53%
21,Trump,Male,54,Trump@gmail.com,1068235690,Cairo-Qism Cairo,4318,24/1/2019,7067,28/2/2019,8280,16/2/2019,4:51,problem with deposit,Ahmed Hesham,72%
22,3bkreem,Male,50,3bkreem@gmail.com,1068235690,Cairo-Qism Cairo,63515,27/3/2019,4165,18/4/2018,2546,13/7/2020,6:35,problem with deposit,Ahmed Hesham,41%
23,AboAbed,Male,28,AboAbed@gmail.com,1068235690,Cairo-Qism Cairo,2417,19/1/2019,5450,9/2/2019,1604,26/10/2020,2:47,problem with deposit,Ahmed Hesham,58%
24,FatmaAbdeen,Female,72,FatmaAbdeen@gmail.com,1068235690,Aswan-Qism Aswan,75633,5/8/2020,2338,24/2/2018,442,27/6/2017,5:16,problem with deposit,Ahmed Hesham,41%
